Andong,안동시,North Gyeongsang
Ansan,안산시,Gyeonggi
Anseong,안성시,Gyeonggi
Anyang,안양시,Gyeonggi
Asan,아산시,South Chungcheong
Boryeong,보령시,South Chungcheong
Bucheon,부천시,Gyeonggi
Busan,부산광역시,none
Changwon,창원시,South Gyeongsang
Cheonan,천안시,South Chungcheong
Cheongju,청주시,North Chungcheong
Chuncheon,춘천시,Gangwon
Chungju,충주시,North Chungcheong
Daegu,대구광역시,none
Daejeon,대전광역시,none
Dangjin,당진시,South Chungcheong
Dongducheon,동두천시,Gyeonggi
Donghae,동해시,Gangwon
Gangneung,강릉시,Gangwon
Geoje,거제시,South Gyeongsang
Gimcheon,김천시,North Gyeongsang
Gimhae,김해시,South Gyeongsang
Gimje,김제시,North Jeolla
Gimpo,김포시,Gyeonggi
Gongju,공주시,South Chungcheong
Goyang,고양시,Gyeonggi
Gumi,구미시,North Gyeongsang
Gunpo,군포시,Gyeonggi
Gunsan,군산시,North Jeolla
Guri,구리시,Gyeonggi
Gwacheon,과천시,Gyeonggi
Gwangju,광주광역시,none
Gwangju,광주시,Gyeonggi
Gwangmyeong,광명시,Gyeonggi
Gwangyang,광양시,South Jeolla
Gyeongju,경주시,North Gyeongsang
Gyeongsan,경산시,North Gyeongsang
Gyeryong,계룡시,South Chungcheong
Hanam,하남시,Gyeonggi
Hwaseong,화성시,Gyeonggi
Icheon,이천시,Gyeonggi
Iksan,익산시,North Jeolla
Incheon,인천광역시,none
Jecheon,제천시,North Chungcheong
Jeongeup,정읍시,North Jeolla
Jeonju,전주시,North Jeolla
Jeju,제주시,Jeju
Jinju,진주시,South Gyeongsang
Naju,나주시,South Jeolla
Namyangju,남양주시,Gyeonggi
Namwon,남원시,North Jeolla
Nonsan,논산시,South Chungcheong
Miryang,밀양시,South Gyeongsang
Mokpo,목포시,South Jeolla
Mungyeong,문경시,North Gyeongsang
Osan,오산시,Gyeonggi
Paju,파주시,Gyeonggi
Pocheon,포천시,Gyeonggi
Pohang,포항시,North Gyeongsang
Pyeongtaek,평택시,Gyeonggi
Sacheon,사천시,South Gyeongsang
Sangju,상주시,North Gyeongsang
Samcheok,삼척시,Gangwon
Sejong,세종특별자치시,none
Seogwipo,서귀포시,Jeju
Seongnam,성남시,Gyeonggi
Seosan,서산시,South Chungcheong
Seoul,서울특별시,none
Siheung,시흥시,Gyeonggi
Sokcho,속초시,Gangwon
Suncheon,순천시,South Jeolla
Suwon,수원시,Gyeonggi
Taebaek,태백시,Gangwon
Tongyeong,통영시,South Gyeongsang
Uijeongbu,의정부시,Gyeonggi
Uiwang,의왕시,Gyeonggi
Ulsan,울산광역시,none
Wonju,원주시,Gangwon
Yangju,양주시,Gyeonggi
Yangsan,양산시,South Gyeongsang
Yeoju,여주시,Gyeonggi
Yeongcheon,영천시,North Gyeongsang
Yeongju,영주시,North Gyeongsang
Yeosu,여수시,South Jeolla
Yongin,용인시,Gyeonggi